Name,Description,CostPrice,TaxRate,CostIncTax,SalePriceIncTax,IsVariablePrice,MarginPerc,TaxExemptEligible,RRPrice,BottleDepositItemName,Barcode,Category,Size,Colour,ProductType,TareWeight,ProductId,AgeRestriction
"Ayoola Cassava fufu 900g", ,2.85000, ,2.85000,4.99000,,0.428860,,0, ,6151100001429,flour, , ,Standard, ,506120, 
"Banga Red Palm Oil 4L", ,9.20000, ,9.20000,13.99000,,0.342390,,0, ,6152110062714,Oil, , ,Standard, ,506122, 
"Puregro Easy cook Rice 5kg", ,4.75000, ,4.75000,5.99000,,0.207010,,0, ,5061004290977,Rice, , ,Standard, ,506123, 
"Puregro Golden Sella Basmati Rice 10kg", ,15.00000, ,15.00000,17.99000,,0.166200,,0, ,5060331896647,Rice, , ,Standard, ,506124, 
"Plantain fufu 500g", ,4.60000, ,4.60000,5.99000,,0.232050,,0, , ,flour, , ,Standard, ,506128, 
"Unripe Plantain box 20kg", ,36.00000, ,36.00000,48.00000,,0.250000,,0, , ,Plantain, , ,Standard, ,506129, 
"Milo Sachet Refill 400g(Nig)", ,4.00000, ,4.00000,5.99000,,0.332220,,0, ,"6151100032140,6033000683137",beaverage, , ,Standard, ,506130, 
"Turkey Mid wings 5kg", ,17.00000, ,17.00000,21.50000,,0.209300,,0, , ,"Frozen Protein", , ,Standard, ,506131, 
"Kawun/Potash 90g", ,1.00000, ,1.00000,1.50000,,0.333330,,0, ,5060238430067,spice, , ,Standard, ,506137, 
"Ripe Plantain box 20kg", ,41.60000, ,41.60000,52.00000,,0.200000,,0, , ,Plantain, , ,Standard, ,506140, 
"Banga Sticks", ,1.43000, ,1.43000,2.30000,,0.378260,,0, , ,spice, , ,Standard, ,506143, 
"TS Coconut Peanut 330g", ,2.75000, ,2.75000,3.99000,,0.310780,,0, ,5029788160664,snacks, , ,Standard, ,506144, 
"Bournvita 500g", ,4.40000, ,4.40000,6.50000,,0.323080,,0, ,7622210492081,Beverage, , ,Standard, ,506145, 
"Bournvita 900g", ,8.70000, ,8.70000,10.99000,,0.208370,,0, ,7622210492135,Beverage, , ,Standard, ,506146, 
"Cow foot 1kg", ,2.60000, ,2.60000,3.99000,,0.348370,,0, ,5060238430586,"Frozen Protein", , ,Standard, ,506147, 
"Achi Soup Thickner 70g", ,1.30000, ,1.30000,1.79000,,0.273740,,0, ,5061069140682, , , ,Standard, ,506148, 
"Mama’s Choice Plantain Fufu 1.5kg", ,9.60000, ,9.60000,12.50000,,0.232000,,0, ,854141000074,flour, , ,Standard, ,506152, 
"Frozen wings 1kg", ,3.64000, ,3.64000,5.99000,,0.392320,,0, ,5060238433914,"Frozen Protein", , ,Standard, ,506155, 
"Frozen Mid wings(cut) 10kg", ,41.20000, ,41.20000,45.30000,,0.090510,,0, , ,"Frozen Protein", , ,Standard, ,506156, 
"Jolly Chicken thigh 2kg", ,3.40000, ,3.40000,4.99000,,0.318640,,0, ,5060238433303,"Frozen Protein", , ,Standard, ,506158, 
"Beef Reed (Abodi) 1 kg", ,2.70000, ,2.70000,3.99000,,0.323310,,0, ,"5060238431903,0741813883212,0741813883212","Frozen Protein", , ,Standard, ,506160, 
"Beef Stripe/Shaki 1kg", ,3.84000, ,3.84000,4.99000,,0.230460,,0, ,"42072401512,0741813883175","Frozen Protein", , ,Standard, ,506161, 
"Boneless Cowfoot 1kg", ,5.96000, ,5.96000,7.99000,,0.254070,,0, ,"5060238430548,2107240178,0741813882222","Frozen Protein", , ,Standard, ,506163, 
"Cow Mask 1kg", ,3.50000, ,3.50000,4.99000,,0.298600,,0, ,0741813883199,"Frozen Protein", , ,Standard, ,506164, 
"Cow snout 1kg", ,2.96000, ,2.96000,3.99000,,0.258150,,0, ,"5060238431606,0741813883205","Frozen Protein", , ,Standard, ,506165, 
"AH Ground Crayfish 70g", ,2.20000, ,2.20000,2.79000,,0.211470,,0, ,5061069141351,Fish, , ,Standard, ,506166, 
"Derica Tomato paste 400g", ,1.34000, ,1.34000,1.80000,,0.255560,,0, ,"8055510221591,6154000102586",Grocery, , ,Standard, ,506167, 
"Peanut/Groundnut 500g", ,3.43000, ,3.43000,4.99000,,0.312630,,0, ,4533667890241,Snack, , ,Standard, ,506168, 
"Eniola poundo 1.5kg", ,5.99000, ,5.99000,7.99000,,0.250310,,0, ,5060202311101,flour, , ,Standard, ,506169, 
"Eniola Poundo Yam 4kg", ,14.99000, ,14.99000,16.99000,,0.117720,,0, ,5060202311102,flour, , ,Standard, ,506170, 
"Turkey Wings(Uncut) 5kg", ,16.50000, ,16.50000,19.50000,,0.153850,,0, , ,"Frozen Protein", , ,Standard, ,506171, 
"Goat meat 1kg", ,7.40000, ,7.40000,9.99000,,0.259260,,0, ,"5060238430791,4207240176,715706380065","Frozen Protein", , ,Standard, ,506173, 
"Golden Morn 300g", ,1.50000, ,1.50000,2.50000,,0.400000,,0, ,"6033000680297,6033000681492",Cereal, , ,Standard, ,506175, 
"Ah Whole Egusi/Melon 100g", ,1.25000, ,1.25000,1.69000,,0.260360,,0, ,4451255511,Grocery, , ,Standard, ,506176, 
"Semovita 2kg", ,2.80000, ,2.80000,4.30000,,0.348840,,0, ,6156000051154,flour, , ,Standard, ,506178, 
"Ijebu Garri 1.5kg", ,2.80000, ,2.80000,3.99000,,0.298250,,0, ,5060238433532,Garri, , ,Standard, ,506180, 
"Knorr Chicken (8gx45)", ,2.15000, ,2.15000,2.80000,,0.232140,,0, ,"6154000011291,6154000010348,6154000010270",seasoning, , ,Standard, ,506181, 
"Knorr Beef cubes (8gx45)", ,1.65000, ,1.65000,2.50000,,0.340000,,0, ,"6154000011130,6154000010270",seasoning, , ,Standard, ,506183, 
"Maggi Star 400g", ,1.10000, ,1.10000,1.99000,,0.447240,,0, ,6151100037817,seasoning, , ,Standard, ,506186, 
"Nido Powdered milk 400g", ,4.40000, ,4.40000,5.99000,,0.265440,,0, ,8715000998630,Milk, , ,Standard, ,506188, 
"Puregro whole Nutmeg 100g", ,2.25000, ,2.25000,3.29000,,0.316110,,0, ,5060331890317,spice, , ,Standard, ,506189, 
"Ofada Rice 1.5kg", ,3.80000, ,3.80000,4.99000,,0.238480,,0, ,5060238430494,Rice, , ,Standard, ,506190, 
"Ofada Rice 4kg", ,10.00000, ,10.00000,12.99000,,0.230180,,0, ,5060238431545,Rice, , ,Standard, ,506191, 
"Mild Curry 140g", ,1.80000, ,1.80000,2.50000,,0.280000,,0, ,5060238434478,spice, , ,Standard, ,506192, 
"Onga Seasoning Stew 50g", ,0.45000, ,0.45000,0.69000,,0.347830,,0, ,6008155010169,spice, , ,Standard, ,506193, 
"Pepper soup spice 100g", ,1.40000, ,1.40000,2.40000,,0.416670,,0, ,5060238430203,spice, , ,Standard, ,506194, 
