Name,Description,Price
Whole Ogbono 100g,Whole Ogbono 100g,27.52
Titus Sardine Box of 50,Titus Sardine Box of 50,66.19
Gino Pepper&Onion Box 50*50,Gino Pepper&Onion Box 50*50,19.99
Gb Abemudro pamnut soup 800g,Gb Abemudro pamnut soup 800g,42.12
Prekese 300g,Prekese 300g,31.4
AH Fanti Kenkey 600g,AH Fanti Kenkey 600g,33.5
AH Kenkey GA 400g,AH Kenkey GA 400g,33.5
AH Corn Dough 2kg box of 6,AH Corn Dough 2kg box of 6,20.19
AH Cassava Dough 1kg,AH Cassava Dough 1kg,18.76
Ghana Taste Cassava Dough 1kg,Ghana Taste Cassava Dough 1kg,27.52
Bama Big,Bama Big,39
Puregro Demerara Sugar 650g,Puregro Demerara Sugar 650g,8.47
Puregro Red Peanut 375g,Puregro Red Peanut 375g,8.47
Dees Creamed Coconut 200g,Dees Creamed Coconut 200g,17.02
Raw Peanut 1kg,Raw Peanut 1kg,66.36
DR Coconut milk 400ml,DR Coconut milk 400ml,16.61
Disha Hibiscus Flower 500g,Disha Hibiscus Flower 500g,56.3
Whole Crayfish 200g,Whole Crayfish 200g,51.52
Whole Crayfish 100g,Whole Crayfish 100g,33
Ts Coconut Peanut 330g (6),Ts Coconut Peanut 330g (6),80.37
Derica 400g Box of 24,Derica 400g Box of 24,38.39
Derica 210g Box of 24,Derica 210g Box of 24,25.79
Abacha 500g,Abacha 500g,52
Puregro Cassva Dough 2kg,Puregro Cassva Dough,37.92
AH ground crayfish 150g,AH ground crayfish 150g,51.52
Abacha,Abacha,16.92
Derica Tomato paste 400g,Derica Tomato paste 400g,20.5
Palm wine/ Emu,Palm wine/ Emu,42.24
Puregro Red Peanut 1.5kg,Red Peanut,28.45
Jafro Chin Chin 250g,Jafro Chin Chin 250g,22.51
African Queen Sardines,African Queen Sardines,47
AH Sorrel Leaves,AH Sorrel Leaves,39.98
Tiger blade,Tiger blade,10.94
Ah Whole Egusi/Melon 100g,,16.02
Puregro Whole Ogbonno 130g,Puregro Whole Ogbonno 130g,31
AH Whole Egusi 200g,AH Whole Egusi 200g,27.72
Puregro Whole egusi 100g,Puregro Whole egusi 100g,15.72
Puregro Sorrel 1kg,Puregro Sorrel 1kg,94.92
Puregro Popcorn Kernels 500g,Puregro Popcorn Kernels 500g,9.22
Puregro Ground Ogbonno 80g,Puregro Ground Ogbonno 80g,18.78
Puregro Ground Ogbonno 130g,Puregro Ground Ogbonno 130g,31
Puregro Ground Egusi 200g,Puregro Ground Egusi 200g,28.34
Puregro Ground Egusi 1oog,Puregro Ground Egusi 100g,16.66
Damatol 110g,Damatol 110g,25.2
Damatol 250g,Damatol Big,50.76
Soul mate,Soul mate,27.89
Brazillian wool,Brazillian wool,34.08
Apple Hair creame 300ml,Apple Hair creame Medium,26.83
Dusting Powder,Dusting Powder,16.87
honey 4kg (Box),honey 4kg,89.08
Ghana Sack,Ghana Sack,16.87
Lemon plus,Lemon plus,16.37
Groundnut,Groundnut,39.55
Mortar Size 3,Mortar Size 3,14.97
Mortar size 2,Mortar size 2,12.14
Honey 1L,Honey 1L,104.02
Honey 250ml,Honey 250ml,37.62
AH Iru Woro 80g,Iru Woro,21.98
Gino Asun,Gino Asun,30.8
Puregro chickpeas,Puregro chickpeas,16.75
Puregro Cashews nut 700g,Puregro Jumbo Cashews nut 700g,51.19
Puregro Cashew 700g,Puregro Cashew 700g,40.15
Peanut,Peanut,22.66
Carotone,Carotone,45.36
Buttermint Sweet,Buttermint Sweet,16.8
Dunns River Jamaican Callabo,Dunns River Jamaican Callabo,33.74
Sapna Ginger Paste 1kg,Sapna Ginger Paste 1kg,16.75
Sapna Ginger Garlic (mix) paste,Sapna Ginger Garlic (mix) paste,16.75
Sapna Garlic Paste 1kg,Sapna Garlic Paste 1kg,16.75
RG Shitto Hot Sauce 350ml,RG Shitto Hot Sauce 350ml,31.39
RG Shitto Hot Sauce 160ml,RG Shitto Hot Sauce 160ml,19.27
RG Kenkey 750g,RG Kenkey 750g,16.75
Geisha Mackerel in Tomato 425g Green,Geisha Mackerel in Tomato 425g Green,29.86
Geisha Mackerel in Chilli 425g Red,Geisha Mackerel in Chilli 425g Red,28.42
Apollo Sardines 125g,Apollo Sardines 125g,13.56
Natural Palm Drink 600ml,Natural Palm Drink 600ml,32.88
Unripe Plantain quarter,Unripe Plantain quarter,36.24
Exeter Corned Beef 340g,Exeter Corned Beef 340g,51.6
AH Whole Ogbonno 80g,AH Whole Ogbonno 80g,22.7
Ground Prawns 70g,Ground Prawns 70g,51.26
Ground Okra 50g,Ground Okra 50g,15.74
AH Ground Ogbonno 80g,Ground Ogbonno 80g,22.7
Waake Leaves,Waake,19.2
Close Up Tooth paste130g,Close Up Tooth paste130g,22.8
Puregro Creamy Peanut butter 454g,Puregro Creamy Peanut butter 454g,20.18
Puregro Creamy Peanut Butter 1kg,Puregro Creamy Peanut Butter 1kg,34.1
Gino 210g,Gino 210g,27.07
Gino 400g,Gino 400g,22.61
TS Hominy Yellow Corn 500g,TS Hominy Yellow Corn 500g,13.8
GB Peanut Butter 400g,GB Peanut Butter 400g,27.6
AH Whole Whole Egusi,AH Whole Whole Egusi,55.12
Simas Butter 3,Simas Butter,63.38
Okra Half Box,Okra Half Box,21.8
okra Box 4kg,okra Box 4kg,21.8
Ghana Taste Cassava Dough 2kg,Cassava Dough 2kg,47.12
Corn Dough 2kg,Corn Dough,48.52
Mayonnaiose 750g,Mayonnaiose 750g,40.15
Puregro Banku Mix Dough 1kg PM £2.49,Puregro Banku Mix Dough 1kg PM £2.49,13.87
De Rica Double Concentrate Tomato Paste 400g (Box of 24),De Rica Double Concentrate Tomato Paste 400g (Box of 24),39.6
De Rica Double Concentrate Tomato Paste 210g (Box of 24),De Rica Double Concentrate Tomato Paste 210g (Box of 24),28.99
Grounded Egusi 200g,Egusi 200g,28.12
Twisted Spaghetti,Twisted Spaghetti,17.04
Bama 3885ml,Bama 3885ml,27.18
frozen minced Okra,frozen minced Okra,47
Ghana taste Peanut Butter,Ghana taste Peanut Butter,16.99
Pink Peanut Jumbo,Pink Peanut Jumbo,36.29
Peanut paste 500g,Peanut paste 500g,22.84
Ghana fresh palm soup 400g,Ghana fresh palm soup 400g,33.74
corn,corn,21.88
Couscous,Couscous,43
Bread,,19.6
Pika Bobolo 700g,Pika Bobolo 700g,37.92
Atieke,Atieke,25.6
Malta guiness pack of 24,Malta guiness pack of 24,13.39
Delta Soap,Delta Soap,11.4
Coconut,Coconut,11.34
Dudu Osun,Dudu Osun,6.72
Simas Butter,Simas Butter,45.46
